hotspot_id,is_discovered_cluster,centroid_lat,centroid_lon,violation_count,avg_PIS,police_station,junction_name,peak_window,impact_score
0,True,12.95751398262911,77.51889524084507,213,5.640845070422535,Byatarayanapura,Discovered Cluster #0,11:00–13:00,1201.5
1,True,12.99551413226601,77.61399975665024,406,7.391625615763547,Pulikeshinagar(F.Town),Discovered Cluster #1,12:00–14:00,3001.0
2,True,13.008524695873154,77.695366338106,1151,8.96763683753258,K.R. Pura,Discovered Cluster #2,00:00–02:00,10321.75
3,True,12.912422890295494,77.63350477925292,173,6.121387283236994,HSR Layout,Discovered Cluster #3,11:00–13:00,1059.0
4,True,12.933539904422004,77.69071213731667,2627,9.497811191473163,HAL Old Airport,Discovered Cluster #4,04:00–06:00,24950.75
5,True,12.996314523502303,77.5631519843318,217,8.09447004608295,Sheshadripuram,Discovered Cluster #5,09:00–11:00,1756.5000000000002
6,True,12.969705592982455,77.64131652397661,171,13.416666666666666,Jeevanbheemanagar,Discovered Cluster #6,07:00–09:00,2294.25
7,True,13.005698587453658,77.68579506415745,585,5.27051282051282,K.R. Pura,Discovered Cluster #7,10:00–12:00,3083.25
8,True,12.939723819081728,77.69546545056657,657,18.32572298325723,HAL Old Airport,Discovered Cluster #8,08:00–10:00,12040.0
9,True,12.934973686144577,77.53646993012049,166,6.367469879518072,Banashankari,Discovered Cluster #9,02:00–04:00,1057.0
10,True,12.927446645424773,77.67963950811057,459,15.68409586056645,Bellandur,Discovered Cluster #10,02:00–04:00,7199.0
11,True,13.185470132101047,77.67999698539741,1623,13.09380776340111,Chikkajala,Discovered Cluster #11,04:00–06:00,21251.25
12,True,12.925880298230084,77.67632185245768,215,17.398837209302325,Bellandur,Discovered Cluster #12,04:00–06:00,3740.75
13,True,12.982847914614121,77.61073009137931,1218,9.580459770114942,Shivajinagar,Discovered Cluster #13,10:00–12:00,11669.0
14,True,12.957891079176742,77.70165952276948,715,10.384265734265734,HAL Old Airport,Discovered Cluster #14,03:00–05:00,7424.749999999999
15,True,12.973456095540309,77.61516642504289,583,8.328044596912521,Halasur,Discovered Cluster #15,04:00–06:00,4855.25
16,True,12.919656589285713,77.64512939285714,28,13.392857142857142,HSR Layout,Discovered Cluster #16,04:00–06:00,375.0
17,True,12.916396055813953,77.65174649767441,43,8.005813953488373,HSR Layout,Discovered Cluster #17,11:00–13:00,344.25
18,True,13.011344511703296,77.5540394582967,1820,15.116758241758241,Malleshwaram,Discovered Cluster #18,10:00–12:00,27512.5
19,True,13.009032121428572,77.75883044285715,28,7.982142857142857,Mahadevapura,Discovered Cluster #19,07:00–09:00,223.5
20,True,12.985387342418527,77.60545323894738,114,9.263157894736842,Shivajinagar,Discovered Cluster #20,10:00–12:00,1056.0
21,True,12.906828103067411,77.69668011637103,92,7.720108695652174,Bellandur,Discovered Cluster #21,07:00–09:00,710.25
22,True,12.943594858877526,77.69760136516265,318,21.4874213836478,HAL Old Airport,Discovered Cluster #22,06:00–08:00,6833.0
23,True,12.997736244949955,77.5713687979072,1099,14.73248407643312,Malleshwaram,Discovered Cluster #23,09:00–11:00,16191.0
24,True,12.959335517632022,77.64564359987632,256,8.392578125,Jeevanbheemanagar,Discovered Cluster #24,06:00–08:00,2148.5
25,True,12.912914627289418,77.62552149329751,57,3.8903508771929824,HSR Layout,Discovered Cluster #25,02:00–04:00,221.75
26,True,13.006665603140775,77.57042232114415,1783,14.371284352215367,Malleshwaram,Discovered Cluster #26,08:00–10:00,25624.0
27,True,12.999784433691756,77.56939136630825,279,14.243727598566307,Malleshwaram,Discovered Cluster #27,06:00–08:00,3974.0
28,True,12.903650093118637,77.70416834938108,63,8.821428571428571,Bellandur,Discovered Cluster #28,12:00–14:00,555.75
29,True,12.841981707889547,77.64565966331362,507,7.069526627218935,Electronic City,Discovered Cluster #29,12:00–14:00,3584.25
30,True,13.035310753015873,77.58902439978836,945,8.68941798941799,Hebbala,Discovered Cluster #30,04:00–06:00,8211.5
31,True,12.99484575319149,77.58982423829787,47,4.946808510638298,High ground,Discovered Cluster #31,07:00–09:00,232.5
32,True,12.89224884102084,77.63781914414675,388,10.290592783505154,Hulimavu,Discovered Cluster #32,02:00–04:00,3992.75
33,True,12.91151991627907,77.62610326046511,43,4.343023255813954,HSR Layout,Discovered Cluster #33,08:00–10:00,186.75
34,True,12.970000112413793,77.63823031172414,145,13.282758620689656,Jeevanbheemanagar,Discovered Cluster #34,07:00–09:00,1926.0
35,True,13.023604031707318,77.58492314308943,123,7.071138211382114,R.T. Nagar,Discovered Cluster #35,10:00–12:00,869.75
36,True,12.917065086046511,77.50018434883721,43,11.232558139534884,Kengeri,Discovered Cluster #36,10:00–12:00,483.0
37,True,12.971670192982456,77.50761424035088,57,13.263157894736842,Jnanabharathi,Discovered Cluster #37,08:00–10:00,756.0
38,True,13.017411671493212,77.53142927828054,221,6.460407239819005,Rajajinagar,Discovered Cluster #38,04:00–06:00,1427.75
39,True,12.938129867693432,77.69876850218704,441,10.284013605442176,HAL Old Airport,Discovered Cluster #39,05:00–07:00,4535.25
40,True,12.950955690725522,77.69985101484421,260,14.949038461538462,HAL Old Airport,Discovered Cluster #40,03:00–05:00,3886.75
41,True,13.063107894285714,77.59189022666666,105,9.142857142857142,Kodigehalli,Discovered Cluster #41,13:00–15:00,960.0
42,True,12.926612974509803,77.60894490098039,102,17.014705882352942,Mico Layout,Discovered Cluster #42,03:00–05:00,1735.5
43,True,12.91191765,77.65161568076923,26,8.76923076923077,HSR Layout,Discovered Cluster #43,11:00–13:00,228.00000000000003
44,True,12.978268114285713,77.62865900357143,84,9.05952380952381,Jeevanbheemanagar,Discovered Cluster #44,05:00–07:00,761.0
45,True,12.91164795551724,77.63808631551724,290,13.133620689655173,HSR Layout,Discovered Cluster #45,12:00–14:00,3808.75
46,True,12.959824816602763,77.64902487427754,219,13.146118721461187,Jeevanbheemanagar,Discovered Cluster #46,05:00–07:00,2879.0
47,True,12.906855994832544,77.54601959395261,80,10.546875,K.S. Layout,Discovered Cluster #47,12:00–14:00,843.75
48,True,12.90641438657905,77.62981573157882,330,8.574242424242424,HSR Layout,Discovered Cluster #48,13:00–15:00,2829.5
49,True,13.063405126086957,77.58690436956522,69,10.130434782608695,Kodigehalli,Discovered Cluster #49,13:00–15:00,699.0
50,True,12.964440196641792,77.55455237686567,268,9.274253731343284,Magadi Road,Discovered Cluster #50,10:00–12:00,2485.5000000000005
51,True,13.191274310507726,77.64624639933776,453,14.352649006622517,Chikkajala,Discovered Cluster #51,02:00–04:00,6501.75
52,True,12.975726044885382,77.55882605604687,397,3.526448362720403,Magadi Road,Discovered Cluster #52,04:00–06:00,1400.0
53,True,12.91683331501745,77.67324969193548,31,10.838709677419354,Bellandur,Discovered Cluster #53,10:00–12:00,336.0
54,True,13.045848827272726,77.75035733636363,77,10.4512987012987,K.R. Pura,Discovered Cluster #54,10:00–12:00,804.7499999999999
55,True,12.893828594117647,77.56778893529412,34,17.029411764705884,K.S. Layout,Discovered Cluster #55,11:00–13:00,579.0
56,True,12.98665399159292,77.57446836902656,226,9.08849557522124,Sheshadripuram,Discovered Cluster #56,03:00–05:00,2054.0
57,True,13.027076698484848,77.57912885454544,66,5.7727272727272725,Kodigehalli,Discovered Cluster #57,03:00–05:00,381.0
58,True,12.989395851515152,77.5927894121212,33,11.272727272727273,High ground,Discovered Cluster #58,06:00–08:00,372.0
59,True,13.027866363392857,77.5742299547619,336,4.794642857142857,Sadashivanagar,Discovered Cluster #59,11:00–13:00,1610.9999999999998
60,True,12.87593834226804,77.64790716494845,97,6.858247422680412,Hulimavu,Discovered Cluster #60,04:00–06:00,665.25
61,True,12.979158456920205,77.69505897881804,210,15.802380952380952,Mahadevapura,Discovered Cluster #61,03:00–05:00,3318.5
62,True,12.973016155001362,77.61997600539597,138,16.221014492753625,Halasur,Discovered Cluster #62,07:00–09:00,2238.5
63,True,12.818492987499999,77.68915773214285,56,2.5,Electronic City,Discovered Cluster #63,02:00–04:00,140.0
64,True,12.959424854950495,77.7160926920792,202,9.330445544554456,HAL Old Airport,Discovered Cluster #64,05:00–07:00,1884.75
65,True,12.973723112030076,77.62296669924812,266,13.840225563909774,Halasur,Discovered Cluster #65,04:00–06:00,3681.5
66,True,13.083465460869565,77.63826760434782,23,6.75,Hennuru,Discovered Cluster #66,13:00–15:00,155.25
67,True,12.931871617360937,77.51559487878025,33,15.363636363636363,Kengeri,Discovered Cluster #67,07:00–09:00,507.0
68,True,13.001050687500001,77.61229041499999,40,8.175,Pulikeshinagar(F.Town),Discovered Cluster #68,13:00–15:00,327.0
69,True,13.047061206976746,77.50103740465116,86,7.151162790697675,Peenya,Discovered Cluster #69,04:00–06:00,615.0
70,True,12.978729344680852,77.58127518297873,47,12.97340425531915,Upparpet,Discovered Cluster #70,09:00–11:00,609.75
71,True,12.996209480719953,77.66850779125161,607,7.446457990115321,Mahadevapura,Discovered Cluster #71,10:00–12:00,4520.0
72,True,12.989322694505494,77.50064835384616,91,7.236263736263736,Kamakshipalya,Discovered Cluster #72,10:00–12:00,658.5
73,True,13.006796940540541,77.57882629999999,37,10.337837837837839,Sadashivanagar,Discovered Cluster #73,09:00–11:00,382.5
74,True,12.9905956390625,77.57462156718749,64,11.3203125,Sheshadripuram,Discovered Cluster #74,06:00–08:00,724.5
75,True,12.980199759759035,77.6138430366265,415,14.606024096385543,Shivajinagar,Discovered Cluster #75,10:00–12:00,6061.5
76,True,13.054970761764706,77.50762349705882,34,12.845588235294118,Chikkabanavara,Discovered Cluster #76,10:00–12:00,436.75
77,True,12.960943023758865,77.51174843262412,282,14.381205673758865,Jnanabharathi,Discovered Cluster #77,12:00–14:00,4055.5
78,True,13.071624648717949,77.59317050512821,39,3.3333333333333335,Hebbala,Discovered Cluster #78,04:00–06:00,130.0
79,True,13.034572136404526,77.55732556466755,98,8.709183673469388,Yeshwanthpura,Discovered Cluster #79,03:00–05:00,853.5
80,True,12.896615943548387,77.72008344354839,62,8.298387096774194,Whitefield,Discovered Cluster #80,09:00–11:00,514.5
81,True,12.899757632478305,77.67546852765973,262,7.105916030534351,Bellandur,Discovered Cluster #81,10:00–12:00,1861.75
82,True,12.99541420543131,77.61041360351437,313,8.003194888178914,Pulikeshinagar(F.Town),Discovered Cluster #82,03:00–05:00,2505.0
83,True,13.047485033103447,77.57610216137931,145,7.0137931034482754,Kodigehalli,Discovered Cluster #83,03:00–05:00,1016.9999999999999
84,True,13.022707997068403,77.5928355801303,307,7.947068403908795,R.T. Nagar,Discovered Cluster #84,07:00–09:00,2439.75
85,True,12.96962768703242,77.57562532169577,401,9.796758104738155,City Market,Discovered Cluster #85,09:00–11:00,3928.5
86,True,12.975327068852458,77.62022805081966,61,13.991803278688524,Halasur,Discovered Cluster #86,08:00–10:00,853.5
87,True,12.99945638275862,77.48876152068966,29,8.689655172413794,Kamakshipalya,Discovered Cluster #87,11:00–13:00,252.0
88,True,13.07105272143727,77.58793467161998,821,8.112362971985384,Kodigehalli,Discovered Cluster #88,11:00–13:00,6660.25
89,True,12.9305756031763,77.68535546069185,520,19.01923076923077,HAL Old Airport,Discovered Cluster #89,08:00–10:00,9890.0
90,True,12.993626796460177,77.66239929867257,226,13.015486725663717,Banaswadi,Discovered Cluster #90,08:00–10:00,2941.5
91,True,12.989255846010638,77.59905901835107,376,3.867686170212766,Shivajinagar,Discovered Cluster #91,04:00–06:00,1454.25
92,True,13.008499407194245,77.54298583956835,139,8.31474820143885,Rajajinagar,Discovered Cluster #92,06:00–08:00,1155.75
93,True,12.912498635918103,77.63541744849746,278,10.089928057553957,HSR Layout,Discovered Cluster #93,14:00–16:00,2805.0
94,True,12.876375291549296,77.59543722957747,71,9.54225352112676,Hulimavu,Discovered Cluster #94,13:00–15:00,677.5
95,True,12.995498386979548,77.69577595569638,324,15.347222222222221,Mahadevapura,Discovered Cluster #95,11:00–13:00,4972.5
96,True,13.05828360888889,77.59152350222222,45,10.833333333333334,Kodigehalli,Discovered Cluster #96,13:00–15:00,487.5
97,True,13.030639331257253,77.5363667094168,217,14.96774193548387,Yeshwanthpura,Discovered Cluster #97,10:00–12:00,3248.0
98,True,12.9735865125,77.6075706797619,168,7.772321428571429,Ashok Nagar,Discovered Cluster #98,11:00–13:00,1305.75
99,True,13.026417727586207,77.72051717241378,29,12.362068965517242,K.R. Pura,Discovered Cluster #99,02:00–04:00,358.5
100,True,12.936318961074319,77.69238938970683,279,15.269713261648745,HAL Old Airport,Discovered Cluster #100,04:00–06:00,4260.25
