hotspot_id,is_discovered_cluster,centroid_lat,centroid_lon,violation_count,avg_disruption_index,total_lane_width_reduction,police_station,location_name,junction_name,rank
1001,False,12.981198993397728,77.60846573643606,5882,6.200697041822509,15359.5,Shivajinagar,"Main Guard Cross Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)","Main Guard Cross Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",1
1000,False,12.974977769919427,77.57895228791406,4468,7.495859444941808,12329.0,Upparpet,"3rd Cross Road, Kempegowda Extension, Chickpete, Bengaluru, Karnataka. Pin-560009 (India)","3rd Cross Road, Kempegowda Extension, Chickpete, Bengaluru, Karnataka. Pin-560009 (India)",2
1004,False,12.976618052667375,77.57661597744952,4705,6.481934112646121,11882.0,Upparpet,"5th Main Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)","5th Main Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",3
1013,False,12.964532716212755,77.57734019605452,3783,8.349193761564896,9306.0,City Market,"Mysore Road, Sri Krishna Rajendra Market, Chickpete, Bengaluru, Karnataka. Pin-560002 (India)","Mysore Road, Sri Krishna Rajendra Market, Chickpete, Bengaluru, Karnataka. Pin-560002 (India)",4
1032,False,12.979021375722523,77.57865818029329,2318,8.345772217428818,7852.0,Upparpet,"Vajreshwari Road, R Subanna Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560001 (India)","Vajreshwari Road, R Subanna Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560001 (India)",5
1031,False,12.98342298277087,77.60344006230018,2252,9.100799289520426,7260.0,Shivajinagar,"Meenakshi Koil Street, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)","Meenakshi Koil Street, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",6
11,True,13.185470132101047,77.67999698539741,1623,8.229821318545902,6678.5,Chikkajala,"Unnamed Road, Begur Chikkanahalli, Bengaluru, Karnataka. Pin-562149 (India)",Discovered Cluster #11,7
4,True,12.933539904422004,77.69071213731667,2627,6.799200609059764,6596.0,HAL Old Airport,"New Horizon College Road, New Horizon College of Engineering, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",Discovered Cluster #4,8
1007,False,12.9793429298952,77.57440626309983,1813,6.384169884169884,5756.0,Upparpet,"Subedar Chatram Road, AT Extension, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)","Subedar Chatram Road, AT Extension, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",9
18,True,13.011344511703296,77.5540394582967,1820,11.117307692307692,5289.5,Malleshwaram,"80 Feet Ring Road, Orion, Brigade Gateway, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",Discovered Cluster #18,10
